stage,metasys_id,dirname
11-12,10,20120719/1082~A
15-16,170,20120719/1082~A
15-16,124,20120719/1082~A
13-14,92,20120719/1082~A
11-12,25,20120719/1082~A
7-8,244,20120719/1082~A
11-12,217,20120719/1082~A
9-10,212,20120719/1082~A
13-14,210,20120719/1082~A
13-14,202,20120719/1082~A
11-12,200,20120719/1082~A
13-14,191,20120719/1082~A
11-12,180,20120719/1082~A
4-6,163,20120719/1082~A
11-12,148,20120719/1082~A
9-10,105,20120719/1082~A
15-16,91,20120719/1082~A
9-10,83,20120719/1082~A
9-10,67,20120719/1082~A
13-14,63,20120719/1082~A
4-6,61,20120719/1082~A
11-12,43,20120719/1082~A
7-8,41,20120719/1082~A
9-10,22,20120719/1082~A
