stage,metasys_id,dirname
1-3,305,20120813/6477
9-10,230,20120813/6477
13-14,212,20120813/6477
4-6,210,20120813/6477
7-8,182,20120813/6477
13-14,331,20120813/6477
13-14,306,20120813/6477
4-6,304,20120813/6477
9-10,286,20120813/6477
13-14,268,20120813/6477
9-10,253,20120813/6477
13-14,251,20120813/6477
9-10,242,20120813/6477
11-12,231,20120813/6477
11-12,225,20120813/6477
4-6,220,20120813/6477
7-8,218,20120813/6477
13-14,202,20120813/6477
7-8,191,20120813/6477
9-10,189,20120813/6477
4-6,188,20120813/6477
7-8,172,20120813/6477
13-14,170,20120813/6477
13-14,87,20120813/6477
7-8,82,20120813/6477
15-16,67,20120813/6477
15-16,62,20120813/6477
15-16,20,20120813/6477
