stage,metasys_id,dirname
13-14,242,20120630/027684~A
13-14,343,20120630/027684~A
9-10,303,20120630/027684~A
13-14,276,20120630/027684~A
4-6,104,20120630/027684~A
13-14,10,20120630/027684~A
13-14,6,20120630/027684~A
4-6,292,20120630/027684~A
9-10,185,20120630/027684~A
13-14,38,20120630/027684~A
13-14,36,20120630/027684~A
7-8,335,20120630/027684~A
15-16,330,20120630/027684~A
11-12,327,20120630/027684~A
4-6,326,20120630/027684~A
9-10,320,20120630/027684~A
4-6,300,20120630/027684~A
13-14,284,20120630/027684~A
4-6,272,20120630/027684~A
15-16,259,20120630/027684~A
13-14,254,20120630/027684~A
4-6,250,20120630/027684~A
13-14,237,20120630/027684~A
7-8,190,20120630/027684~A
4-6,189,20120630/027684~A
9-10,168,20120630/027684~A
11-12,153,20120630/027684~A
13-14,137,20120630/027684~A
9-10,123,20120630/027684~A
4-6,103,20120630/027684~A
13-14,98,20120630/027684~A
9-10,97,20120630/027684~A
4-6,85,20120630/027684~A
15-16,43,20120630/027684~A
7-8,40,20120630/027684~A
7-8,12,20120630/027684~A
7-8,1,20120630/027684~A
