stage,metasys_id,dirname
9-10,19,20120722/034802~A
7-8,219,20120722/034802~A
13-14,216,20120722/034802~A
13-14,211,20120722/034802~A
4-6,196,20120722/034802~A
15-16,191,20120722/034802~A
4-6,190,20120722/034802~A
13-14,188,20120722/034802~A
13-14,175,20120722/034802~A
4-6,169,20120722/034802~A
9-10,165,20120722/034802~A
9-10,159,20120722/034802~A
4-6,155,20120722/034802~A
9-10,150,20120722/034802~A
7-8,121,20120722/034802~A
11-12,116,20120722/034802~A
4-6,107,20120722/034802~A
7-8,106,20120722/034802~A
9-10,101,20120722/034802~A
11-12,100,20120722/034802~A
4-6,88,20120722/034802~A
15-16,78,20120722/034802~A
15-16,61,20120722/034802~A
7-8,36,20120722/034802~A
11-12,7,20120722/034802~A
7-8,6,20120722/034802~A
15-16,5,20120722/034802~A
